source,speaker,token,syllable,vowel,onset,offset,TT,TM,TD,delTM,delTD
2015_06_12_19_F_03_1_001_sync,F03,cal.b,coda,ae,7.69721935,7.90710971,782,783,779,-10,30
2015_06_12_19_F_03_1_001_sync,F03,til.b,coda,ih,15.51199493,15.74961487,1559,1565,1560,-60,-10
2015_06_12_19_F_03_1_001_sync,F03,kil.b,coda,ih,18.20479687,18.4649837,1831,1833,1833,-20,-20
2015_06_12_19_F_03_1_001_sync,F03,al.b,coda,ae,21.05497492,21.36465878,2135,2111,2119,240,160
2015_06_12_19_F_03_1_001_sync,F03,kib.l,onset,ih,24.30714914,24.53262711,2447,2447,2443,0,40
2015_06_12_19_F_03_1_001_sync,F03,tal.b,coda,ae,27.09809706,27.40128335,2736,2732,2722,40,140
2015_06_12_19_F_03_1_001_sync,F03,il.b,coda,ih,32.57977468,32.88107344,3272,3275,3274,-30,-20
2015_06_12_19_F_03_1_001_sync,F03,tab.l,onset,ae,43.76466404,44.00276666,4396,4396,4387,0,90
2015_06_12_19_F_03_1_001_sync,F03,tib.l,onset,ih,46.67993774,46.90208174,4686,4688,4681,-20,50
2015_06_12_19_F_03_1_001_sync,F03,cab.l,onset,ae,52.24046537,52.49069654,5245,5243,5239,20,60
2015_06_12_19_F_03_1_002_sync,F03,tal.b,coda,ae,3.419829686,3.687296166,345,348,349,-30,-40
2015_06_12_19_F_03_1_002_sync,F03,tib.l,onset,ih,8.253424289,8.457694632,839,839,833,0,60
2015_06_12_19_F_03_1_002_sync,F03,tab.l,onset,ae,10.69544623,10.92145365,1085,1083,1077,20,80
2015_06_12_19_F_03_1_002_sync,F03,tab.l,onset,ae,26.13386597,26.37133025,2633,2633,2632,0,10
2015_06_12_19_F_03_1_002_sync,F03,cal.b,coda,ae,28.50242488,28.78201992,2879,2869,2862,100,170
2015_06_12_19_F_03_1_002_sync,F03,al.b,coda,ae,30.88739174,31.19571228,3116,3097,3105,190,110
2015_06_12_19_F_03_1_002_sync,F03,til.b,coda,ih,33.49689834,33.73883102,3359,3364,3360,-50,-10
2015_06_12_19_F_03_1_002_sync,F03,kil.b,coda,ih,38.21129583,38.44939845,3832,3833,3834,-10,-20
2015_06_12_19_F_03_1_002_sync,F03,il.b,coda,ih,42.96109369,43.25090224,4308,4311,4310,-30,-20
2015_06_12_19_F_03_1_002_sync,F03,kil.b,coda,ih,45.37506194,45.65146525,4555,4552,4549,30,60
2015_06_12_19_F_03_1_003_sync,F03,kib.l,onset,ih,4.437219799,4.669439282,458,460,455,-20,30
2015_06_12_19_F_03_1_003_sync,F03,kil.b,coda,ih,6.693190189,6.938314601,692,680,677,120,150
2015_06_12_19_F_03_1_003_sync,F03,cal.b,coda,ae,9.089662839,9.353937595,928,913,917,150,110
2015_06_12_19_F_03_1_003_sync,F03,til.b,coda,ih,11.50226751,11.72568819,1160,1162,1159,-20,10
2015_06_12_19_F_03_1_003_sync,F03,al.b,coda,ae,13.81209873,14.13701625,1413,1390,1395,230,180
