run,samp,samp_norm,token,syllable,vowel,item,delta,quad_v1,quad,
1,1,0,cal.b,coda,ae,1,-1.218967547,0.035466109,0.035466109,F03-run1
1,2,0.012658228,cal.b,coda,ae,1,-1.239204809,0.036426376,0.036426376,
1,3,0.025316456,cal.b,coda,ae,1,-1.256321297,0.037320252,0.037320252,
1,4,0.037974684,cal.b,coda,ae,1,-1.255786949,0.038119544,0.038119544,
1,5,0.050632911,cal.b,coda,ae,1,-1.249508872,0.038616789,0.038616789,
1,6,0.063291139,cal.b,coda,ae,1,-1.261981063,0.039252393,0.039252393,
1,7,0.075949367,cal.b,coda,ae,1,-1.287520317,0.040014944,0.040014944,
1,8,0.088607595,cal.b,coda,ae,1,-1.305574246,0.040417959,0.040417959,
1,9,0.101265823,cal.b,coda,ae,1,-1.298556993,0.040233892,0.040233892,
1,10,0.113924051,cal.b,coda,ae,1,-1.260845927,0.03937207,0.03937207,
1,11,0.126582278,cal.b,coda,ae,1,-1.238312657,0.038563129,0.038563129,
1,12,0.139240506,cal.b,coda,ae,1,-1.232855942,0.037950934,0.037950934,
1,13,0.151898734,cal.b,coda,ae,1,-1.234300684,0.03752983,0.03752983,
1,14,0.164556962,cal.b,coda,ae,1,-1.226365924,0.037043136,0.037043136,
1,15,0.17721519,cal.b,coda,ae,1,-1.2104402,0.036433821,0.036433821,
1,16,0.189873418,cal.b,coda,ae,1,-1.19973611,0.035462369,0.035462369,
1,17,0.202531646,cal.b,coda,ae,1,-1.189673015,0.034191007,0.034191007,
1,18,0.215189873,cal.b,coda,ae,1,-1.200289655,0.033011408,0.033011408,
1,19,0.227848101,cal.b,coda,ae,1,-1.214109846,0.031803226,0.031803226,
1,20,0.240506329,cal.b,coda,ae,1,-1.191810103,0.030359517,0.030359517,
1,21,0.253164557,cal.b,coda,ae,1,-1.154960254,0.029095548,0.029095548,
1,22,0.265822785,cal.b,coda,ae,1,-1.150484932,0.028244315,0.028244315,
1,23,0.278481013,cal.b,coda,ae,1,-1.189475824,0.028087276,0.028087276,
1,24,0.291139241,cal.b,coda,ae,1,-1.296530597,0.028636777,0.028636777,
1,25,0.303797468,cal.b,coda,ae,1,-1.44510591,0.029864235,0.029864235,
1,26,0.316455696,cal.b,coda,ae,1,-1.606866206,0.031597246,0.031597246,
1,27,0.329113924,cal.b,coda,ae,1,-1.729173849,0.033437176,0.033437176,
1,28,0.341772152,cal.b,coda,ae,1,-1.8417931,0.035490839,0.035490839,
1,29,0.35443038,cal.b,coda,ae,1,-1.968214859,0.037631784,0.037631784,
1,30,0.367088608,cal.b,coda,ae,1,-2.140319463,0.040037475,0.040037475,
1,31,0.379746835,cal.b,coda,ae,1,-2.322715252,0.042469531,0.042469531,
1,32,0.392405063,cal.b,coda,ae,1,-2.504466909,0.041382206,0.041382206,
1,33,0.405063291,cal.b,coda,ae,1,-2.692505994,0.043194127,0.043194127,
1,34,0.417721519,cal.b,coda,ae,1,-2.897054385,0.044674287,0.044674287,
1,35,0.430379747,cal.b,coda,ae,1,-3.038448033,0.045691375,0.045691375,
1,36,0.443037975,cal.b,coda,ae,1,-3.062747938,0.046365507,0.046365507,
1,37,0.455696203,cal.b,coda,ae,1,-2.989359226,0.046465072,0.046465072,
1,38,0.46835443,cal.b,coda,ae,1,-2.868585265,0.046345264,0.046345264,
1,39,0.481012658,cal.b,coda,ae,1,-2.755109634,0.040798248,0.040798248,
1,40,0.493670886,cal.b,coda,ae,1,-2.672227784,0.039962404,0.039962404,
1,41,0.506329114,cal.b,coda,ae,1,-2.669509846,0.039356853,0.039356853,
1,42,0.518987342,cal.b,coda,ae,1,-2.752427672,0.039009199,0.039009199,
1,43,0.53164557,cal.b,coda,ae,1,-2.871221513,0.03919923,0.03919923,
1,44,0.544303797,cal.b,coda,ae,1,-2.991054028,0.03970391,0.03970391,
1,45,0.556962025,cal.b,coda,ae,1,-3.173170762,0.040792034,0.040792034,
1,46,0.569620253,cal.b,coda,ae,1,-3.391046579,0.041990359,0.041990359,
1,47,0.582278481,cal.b,coda,ae,1,-3.651484973,0.048189609,0.048189609,
1,48,0.594936709,cal.b,coda,ae,1,-3.903540623,0.049173857,0.049173857,
1,49,0.607594937,cal.b,coda,ae,1,-4.118966487,0.049846566,0.049846566,
1,50,0.620253165,cal.b,coda,ae,1,-4.279625739,0.055256448,0.055256448,
1,51,0.632911392,cal.b,coda,ae,1,-4.347921113,0.05526815,0.05526815,
1,52,0.64556962,cal.b,coda,ae,1,-4.309974309,0.055243963,0.055243963,
1,53,0.658227848,cal.b,coda,ae,1,-4.235495892,0.055367499,0.055367499,
1,54,0.670886076,cal.b,coda,ae,1,-4.140249787,0.050611907,0.050611907,
1,55,0.683544304,cal.b,coda,ae,1,-4.101569659,0.051028146,0.051028146,
1,56,0.696202532,cal.b,coda,ae,1,-4.124749072,0.05118086,0.05118086,
1,57,0.708860759,cal.b,coda,ae,1,-4.213816797,0.051076709,0.051076709,
1,58,0.721518987,cal.b,coda,ae,1,-4.32483591,0.050627082,0.050627082,
1,59,0.734177215,cal.b,coda,ae,1,-4.386422909,0.050292863,0.050292863,
1,60,0.746835443,cal.b,coda,ae,1,-4.402386898,0.050393272,0.050393272,
1,61,0.759493671,cal.b,coda,ae,1,-4.368408336,0.05085235,0.05085235,
1,62,0.772151899,cal.b,coda,ae,1,-4.321909691,0.051298393,0.051298393,
1,63,0.784810127,cal.b,coda,ae,1,-4.217875513,0.051860699,0.051860699,
1,64,0.797468354,cal.b,coda,ae,1,-4.108094292,0.052445522,0.052445522,
1,65,0.810126582,cal.b,coda,ae,1,-3.960810445,0.052569569,0.052569569,
1,66,0.82278481,cal.b,coda,ae,1,-3.821340068,0.047227364,0.047227364,
1,67,0.835443038,cal.b,coda,ae,1,-3.736870488,0.046434618,0.046434618,
1,68,0.848101266,cal.b,coda,ae,1,-3.687183611,0.05053963,0.05053963,
1,69,0.860759494,cal.b,coda,ae,1,-3.609109701,0.050254545,0.050254545,
1,70,0.873417722,cal.b,coda,ae,1,-3.558175444,0.050291684,0.050291684,
1,71,0.886075949,cal.b,coda,ae,1,-3.563512406,0.050108459,0.050108459,
1,72,0.898734177,cal.b,coda,ae,1,-3.598862781,0.049602507,0.049602507,
1,73,0.911392405,cal.b,coda,ae,1,-3.621916334,0.049096162,0.049096162,
1,74,0.924050633,cal.b,coda,ae,1,-3.610591402,0.048485222,0.048485222,
1,75,0.936708861,cal.b,coda,ae,1,-3.555066285,0.047449827,0.047449827,
1,76,0.949367089,cal.b,coda,ae,1,-3.448657962,0.046298742,0.046298742,
1,77,0.962025316,cal.b,coda,ae,1,-3.367039939,0.045487627,0.045487627,
1,78,0.974683544,cal.b,coda,ae,1,-3.319611356,0.045082807,0.045082807,
1,79,0.987341772,cal.b,coda,ae,1,-3.321319763,0.044918659,0.044918659,
1,80,1,cal.b,coda,ae,1,-3.3591116,0.044468369,0.044468369,
1,1,0,til.b,coda,ih,2,-3.893062274,0.075085726,0.075085726,
1,2,0.012658228,til.b,coda,ih,2,-3.753488853,0.073004129,0.073004129,
1,3,0.025316456,til.b,coda,ih,2,-3.566822304,0.07038154,0.07038154,
1,4,0.037974684,til.b,coda,ih,2,-3.386846896,0.067854022,0.067854022,
1,5,0.050632911,til.b,coda,ih,2,-3.273234463,0.066241004,0.066241004,
1,6,0.063291139,til.b,coda,ih,2,-3.223950889,0.06545442,0.06545442,
1,7,0.075949367,til.b,coda,ih,2,-3.230164572,0.065473352,0.065473352,
1,8,0.088607595,til.b,coda,ih,2,-3.248514156,0.06561606,0.06561606,
1,9,0.101265823,til.b,coda,ih,2,-3.201017227,0.06492201,0.06492201,
1,10,0.113924051,til.b,coda,ih,2,-3.067131722,0.063209141,0.063209141,
1,11,0.126582278,til.b,coda,ih,2,-2.878651778,0.060860694,0.060860694,
1,12,0.139240506,til.b,coda,ih,2,-2.686488985,0.058430354,0.058430354,
1,13,0.151898734,til.b,coda,ih,2,-2.557805595,0.056549735,0.056549735,
1,14,0.164556962,til.b,coda,ih,2,-2.474821645,0.055336224,0.055336224,
1,15,0.17721519,til.b,coda,ih,2,-2.450399107,0.055099858,0.055099858,
1,16,0.189873418,til.b,coda,ih,2,-2.424434472,0.055189059,0.055189059,
1,17,0.202531646,til.b,coda,ih,2,-2.40047692,0.055084599,0.055084599,
1,18,0.215189873,til.b,coda,ih,2,-2.359584064,0.054511059,0.054511059,
1,19,0.227848101,til.b,coda,ih,2,-2.295172967,0.053893141,0.053893141,
1,20,0.240506329,til.b,coda,ih,2,-2.268642599,0.053616598,0.053616598,
1,21,0.253164557,til.b,coda,ih,2,-2.269090771,0.05353723,0.05353723,
1,22,0.265822785,til.b,coda,ih,2,-2.287786044,0.053487498,0.053487498,
1,23,0.278481013,til.b,coda,ih,2,-2.382524654,0.054005125,0.054005125,
1,24,0.291139241,til.b,coda,ih,2,-2.563905191,0.055132193,0.055132193,
1,25,0.303797468,til.b,coda,ih,2,-2.796406322,0.056717291,0.056717291,
1,26,0.316455696,til.b,coda,ih,2,-2.989566062,0.058104088,0.058104088,
1,27,0.329113924,til.b,coda,ih,2,-3.142368066,0.059386411,0.059386411,
1,28,0.341772152,til.b,coda,ih,2,-3.221800173,0.060188073,0.060188073,
1,29,0.35443038,til.b,coda,ih,2,-3.267312931,0.060789744,0.060789744,
1,30,0.367088608,til.b,coda,ih,2,-3.266150898,0.060991522,0.060991522,
