run,samp,samp_norm,token,syllable,vowel,item,delta_v1,delta,
1,1,0,cal.b,coda,ae,1,-1.218967547,-1.218967547,F03-run1
1,2,0.012658228,cal.b,coda,ae,1,-1.239204809,-1.239204809,
1,3,0.025316456,cal.b,coda,ae,1,-1.256321297,-1.256321297,
1,4,0.037974684,cal.b,coda,ae,1,-1.255786949,-1.255786949,
1,5,0.050632911,cal.b,coda,ae,1,-1.249508872,-1.249508872,
1,6,0.063291139,cal.b,coda,ae,1,-1.261981063,-1.261981063,
1,7,0.075949367,cal.b,coda,ae,1,-1.287520317,-1.287520317,
1,8,0.088607595,cal.b,coda,ae,1,-1.305574246,-1.305574246,
1,9,0.101265823,cal.b,coda,ae,1,-1.298556993,-1.298556993,
1,10,0.113924051,cal.b,coda,ae,1,-1.260845927,-1.260845927,
1,11,0.126582278,cal.b,coda,ae,1,-1.238312657,-1.238312657,
1,12,0.139240506,cal.b,coda,ae,1,-1.232855942,-1.232855942,
1,13,0.151898734,cal.b,coda,ae,1,-1.234300684,-1.234300684,
1,14,0.164556962,cal.b,coda,ae,1,-1.226365924,-1.226365924,
1,15,0.17721519,cal.b,coda,ae,1,-1.2104402,-1.2104402,
1,16,0.189873418,cal.b,coda,ae,1,-1.19973611,-1.19973611,
1,17,0.202531646,cal.b,coda,ae,1,-1.189673015,-1.189673015,
1,18,0.215189873,cal.b,coda,ae,1,-1.200289655,-1.200289655,
1,19,0.227848101,cal.b,coda,ae,1,-1.214109846,-1.214109846,
1,20,0.240506329,cal.b,coda,ae,1,-1.191810103,-1.191810103,
1,21,0.253164557,cal.b,coda,ae,1,-1.154960254,-1.154960254,
1,22,0.265822785,cal.b,coda,ae,1,-1.150484932,-1.150484932,
1,23,0.278481013,cal.b,coda,ae,1,-1.189475824,-1.189475824,
1,24,0.291139241,cal.b,coda,ae,1,-1.296530597,-1.296530597,
1,25,0.303797468,cal.b,coda,ae,1,-1.44510591,-1.44510591,
1,26,0.316455696,cal.b,coda,ae,1,-1.606866206,-1.606866206,
1,27,0.329113924,cal.b,coda,ae,1,-1.729173849,-1.729173849,
1,28,0.341772152,cal.b,coda,ae,1,-1.8417931,-1.8417931,
1,29,0.35443038,cal.b,coda,ae,1,-1.968214859,-1.968214859,
1,30,0.367088608,cal.b,coda,ae,1,-2.140319463,-2.140319463,
1,31,0.379746835,cal.b,coda,ae,1,-2.322715252,-2.322715252,
