source,speaker,token,syllable,vowel,onset,offset,srate,TM_ms,TD_ms,TM,TD,DeltaHeightMax,LaLagTM,LaLagTD
2015_06_12_19_F_03_1_001_sync,F03,cal.b,coda,ae,7.69721935,7.90710971,100,783,779,8,8,22,-142,-142
2015_06_12_19_F_03_1_001_sync,F03,til.b,coda,ih,15.51199493,15.74961487,100,1565,1560,16,16,20,-44,-44
2015_06_12_19_F_03_1_001_sync,F03,kil.b,coda,ih,18.20479687,18.4649837,100,1833,1833,18,18,21,-27,-27
2015_06_12_19_F_03_1_001_sync,F03,al.b,coda,ae,21.05497492,21.36465878,100,2111,2119,21,21,22,-9,-8
2015_06_12_19_F_03_1_001_sync,F03,kib.l,onset,ih,24.30714914,24.53262711,100,2447,2443,24,24,15,95,94
2015_06_12_19_F_03_1_001_sync,F03,tal.b,coda,ae,27.09809706,27.40128335,100,2732,2722,27,27,19,83,82
2015_06_12_19_F_03_1_001_sync,F03,il.b,coda,ih,32.57977468,32.88107344,100,3275,3274,33,33,24,88,87
2015_06_12_19_F_03_1_001_sync,F03,tab.l,onset,ae,43.76466404,44.00276666,100,4396,4387,44,44,15,290,289
2015_06_12_19_F_03_1_001_sync,F03,tib.l,onset,ih,46.67993774,46.90208174,100,4688,4681,47,47,15,319,318
2015_06_12_19_F_03_1_001_sync,F03,cab.l,onset,ae,52.24046537,52.49069654,100,5243,5239,52,52,15,374,374
2015_06_12_19_F_03_1_002_sync,F03,tal.b,coda,ae,3.419829686,3.687296166,100,348,349,3,3,25,-215,-215
2015_06_12_19_F_03_1_002_sync,F03,tib.l,onset,ih,8.253424289,8.457694632,100,839,833,8,8,12,-36,-37
2015_06_12_19_F_03_1_002_sync,F03,tab.l,onset,ae,10.69544623,10.92145365,100,1083,1077,11,11,14,-32,-32
2015_06_12_19_F_03_1_002_sync,F03,tab.l,onset,ae,26.13386597,26.37133025,100,2633,2632,26,26,18,83,83
2015_06_12_19_F_03_1_002_sync,F03,cal.b,coda,ae,28.50242488,28.78201992,100,2869,2862,29,29,21,77,76
2015_06_12_19_F_03_1_002_sync,F03,al.b,coda,ae,30.88739174,31.19571228,100,3097,3105,31,31,26,50,51
2015_06_12_19_F_03_1_002_sync,F03,til.b,coda,ih,33.49689834,33.73883102,100,3364,3360,34,34,13,206,206
2015_06_12_19_F_03_1_002_sync,F03,kil.b,coda,ih,38.21129583,38.44939845,100,3833,3834,38,38,25,133,133
2015_06_12_19_F_03_1_002_sync,F03,il.b,coda,ih,42.96109369,43.25090224,100,4311,4310,43,43,24,191,191
2015_06_12_19_F_03_1_002_sync,F03,kil.b,coda,ih,45.37506194,45.65146525,100,4552,4549,46,45,14,315,315
2015_06_12_19_F_03_1_003_sync,F03,kib.l,onset,ih,4.437219799,4.669439282,100,460,455,5,5,14,-94,-95
2015_06_12_19_F_03_1_003_sync,F03,kil.b,coda,ih,6.693190189,6.938314601,100,680,677,7,7,17,-102,-102
2015_06_12_19_F_03_1_003_sync,F03,cal.b,coda,ae,9.089662839,9.353937595,100,913,917,9,9,22,-129,-128
2015_06_12_19_F_03_1_003_sync,F03,til.b,coda,ih,11.50226751,11.72568819,100,1162,1159,12,12,9,26,26
2015_06_12_19_F_03_1_003_sync,F03,al.b,coda,ae,13.81209873,14.13701625,100,1390,1395,14,14,21,-71,-71
2015_06_12_19_F_03_1_003_sync,F03,il.b,coda,ih,25.78673917,26.06441917,100,2594,2592,26,26,20,59,59
2015_06_12_19_F_03_1_003_sync,F03,tib.l,onset,ih,28.4099109,28.61864965,100,2861,2853,29,29,15,136,135
2015_06_12_19_F_03_1_003_sync,F03,tal.b,coda,ae,31.05916837,31.30556947,100,3125,3120,31,31,31,3,2
2015_06_12_19_F_03_1_003_sync,F03,cab.l,onset,ae,33.66118827,33.91844123,100,3389,3385,34,34,16,179,179
2015_06_12_19_F_03_1_003_sync,F03,tab.l,onset,ae,46.01967903,46.25778164,100,4622,4616,46,46,15,312,312
2015_06_12_19_F_03_1_004_sync,F03,cal.b,coda,ae,2.372345577,2.641088747,100,243,248,2,2,17,-146,-145
